"","Date.Added","Song","Artist","Day.1","Day.2","Day.3","Day.4","Day.5","Day.6","Day.7","Day.8","Day.9","Day.10","Day.11","Day.12","Day.13","Day.14","Day.15","Day.16","Day.17","Day.18","Day.19","Day.20","Day.21","Day.22","Day.23","Day.24","Day.25","Day.26","Day.27","Day.28","Day.29","Day.30","Day.31"
"104","12/16/2020","Gum","​cupcakKe",9200,12700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","12/16/2020","Villain","Lily Rose",-1,-1,-1,-1,11200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","01/04/2021","Effy Stonem","Nick Mono",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA
"108","01/06/2021","Walk","Saucy Santana",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA
"110","01/13/2021","I'm not Pretty","JESSIA",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","01/14/2021","Thug Paradise","Soldier Kidd",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","01/14/2021","Lucky","Lil Nemo",13000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","01/14/2021","Hittin'","Money Mu",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"116","01/15/2021","Distractions","Ben Beal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"117","01/15/2021","Action Figures","Ben Beal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
