Date Added,Song,Artist,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
11/10/2020,Crazy,J Nanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
11/14/2020,Where U At?,MoneyatMidnight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
11/14/2020,Walk With Me,GoldFord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
11/18/2020,Viernes 13,Marcos Menchaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
11/18/2020,Out the Frame,Marv Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
11/22/2020,Hailey,WRENN,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
11/30/2020,She Gone Enter,lil.eaarl,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Feelings,ssgkobe,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Sandlot,ssgkobe,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2020,Chanel Bag,KillBunk,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
12/01/2020,Jugg,KillBunk,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
12/02/2020,Crucial,Alshawn Martin,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
12/02/2020,Pretend,Kill Jasper,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
12/02/2020,Toxic Traits,SBE KP,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
12/02/2020,Mrs Magic,Strawberry Guy,25,24,22,22,21,21,17,16,18,18,,,,,,,,,,,,,,,,,,,,,
12/02/2020,Hood Bitch,Fam0us.Twinsss,30,31,28,29,28,29,30,33,0,0,,,,,,,,,,,,,,,,,,,,,
12/03/2020,If I Could Do It All Again,Loser,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
12/03/2020,treasure hunter,Loser,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
12/07/2020,You,Yung Trip,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
12/07/2020,Bonita,Amaru Cloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12/07/2020,Meant For,Amaru Cloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12/08/2020,Be Around Me,Will Joseph Cook,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12/08/2020,No Relay,Soldier Kidd,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2020,You & Me,Tommy Ice,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
12/09/2020,Trap de Amarella,Epidemic7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
12/11/2020,Trust Me I Know,Young Habibi,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2020,Every 4,KenTheMan,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2020,He Be Like,KenTheMan,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2020,Sugar Daddy,Qveen Herby,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2020,Send Em Up,Elijah the Boy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12/11/2020,poco a poco,riela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
12/14/2020,Dont Do Drugs,Lesane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/2020,Gum,​cupcakKe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
12/16/2020,Villain,Lily Rose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
12/21/2020,Davo Gng,YSN Marrr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
1/4/2021,Effy Stonem,Nick Mono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
